Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,GERS,Purpose,Prequisites,Notes,Sort,Courses ID
Spring 2018 - Day,ART-111-01,ART-21,Visual Language I,4,EXAM,RAB DSS,04/28/18,04/28/18,S,12:00PM,02:30PM,,12,VP,undergraduate day,,,2,2649
Spring 2018 - Day,ART-112-01,ART-22,Visual Language II,4,STU,RAB SCS,01/08/18,04/24/18,TR,01:30PM,03:20PM,Dr. Bob Chance,12,VP,undergraduate day,,,1,2650
Spring 2018 - Day,ART-112-01,ART-22,Visual Language II,4,EXAM,RAB SCS,05/01/18,05/01/18,T,12:00PM,02:30PM,,12,VP,undergraduate day,,,2,2650
Spring 2018 - Day,ART-112-02,ART-22,Visual Language II,4,STU,RAB SCS,01/08/18,04/24/18,MW,01:30PM,03:20PM,"Mr. Ralph G. Brown, III",12,VP,undergraduate day,,,1,2650
Spring 2018 - Day,ART-112-02,ART-22,Visual Language II,4,EXAM,RAB SCS,04/30/18,04/30/18,M,12:00PM,02:30PM,,12,VP,undergraduate day,,,2,2650
Spring 2018 - Day,ART-113-01,ART-23,Visual Language III,4,STU,RAB PTS,01/08/18,04/24/18,MW,11:30AM,01:20PM,"Glen Miller, Jr.",12,VP,undergraduate day,,,1,2651
Spring 2018 - Day,ART-113-01,ART-23,Visual Language III,4,EXAM,RAB PTS,04/28/18,04/28/18,S,12:00PM,02:30PM,,12,VP,undergraduate day,,,2,2651
Spring 2018 - Day,ART-124-01,ART-24,Drawing,4,STU,RAB ARS,01/08/18,04/24/18,MW,08:30AM,10:20AM,"Glen Miller, Jr.",12,VP,undergraduate day,,,1,2652
Spring 2018 - Day,ART-124-01,ART-24,Drawing,4,EXAM,RAB ARS,04/27/18,04/27/18,F,08:30AM,11:00AM,,12,VP,undergraduate day,,,2,2652
Spring 2018 - Day,ART-130-01,ART-26,History of Western Art I,4,LEC,RAB LLR,01/08/18,04/24/18,TR,10:00AM,11:15AM,Dr. Carolyn Watson,24,VP,undergraduate day,,,1,2654
Spring 2018 - Day,ART-130-01,ART-26,History of Western Art I,4,EXAM,RAB LLR,05/01/18,05/01/18,T,08:30AM,11:00AM,,24,VP,undergraduate day,,,2,2654
Spring 2018 - Day,ART-130-02,ART-26,History of Western Art I,4,LEC,RAB LLR,01/08/18,04/24/18,TR,11:30AM,12:45PM,Dr. Carolyn Watson,24,VP,undergraduate day,,,1,2654
Spring 2018 - Day,ART-130-02,ART-26,History of Western Art I,4,EXAM,RAB LLR,04/26/18,04/26/18,T,12:00PM,02:30PM,,24,VP,undergraduate day,,,2,2654
Spring 2018 - Day,ART-131-01,ART-26,History of Western Art II,4,LEC,RAB LLR,01/08/18,04/24/18,MWF,09:30AM,10:20AM,Staff Staff,24,VP,undergraduate day,,,1,2655
Spring 2018 - Day,ART-131-01,ART-26,History of Western Art II,4,EXAM,RAB LLR,04/30/18,04/30/18,M,08:30AM,11:00AM,,24,VP,undergraduate day,,,2,2655
Spring 2018 - Day,ART-200-01,ART-31,Ceramics I,4,STU,RAB CRS,01/08/18,04/24/18,TR,08:30AM,10:20AM,Dr. Bob Chance,12,,undergraduate day,ART-113 and ART-124,,1,2656
