Term,Section,Former,Title,Credits,Instructional Method,Location,Start Date,End Date,Meeting Days,Start Time,End Time,Instructor(s),Seats Remaining,Core Requirements,Global Awareness,Freshman Seminar,Purpose,Prequisites,Notes,Sort
Summer 2017 - Day,PHL-101-01,PHL-20,Introduction to Philosophy,4,LEC,FUR 230,06/05/17,07/07/17,MTWR,12:30PM,02:20PM,E A Anderson,10,UQ,,,undergraduate day,,,1
Summer 2017 - Day,PHL-101-02,PHL-20,Introduction to Philosophy,4,LEC,FUR 128,07/10/17,08/11/17,MTWR,08:30AM,10:20AM,J A Simmons,FULL,UQ,,,undergraduate day,,,1
Summer 2017 - Day,PHY-104-01,PHY-14,Energy: Man Creation Calories,4,LEC,PYR 222,06/05/17,06/30/17,MTRF,08:30AM,10:20AM,W H Brantley,12,NW,NE,,undergraduate day,,,1
Summer 2017 - Day,PHY-104-01,PHY-14,Energy: Man Creation Calories,4,LAB,RNK 251,06/05/17,06/30/17,W,08:30AM,10:20AM,  ,12,NW,NE,,undergraduate day,,,2
Summer 2017 - Day,PHY-111-01,PHY-11,General Physics I,4,LEC,PYR 222,06/05/17,07/07/17,MTRF,10:30AM,12:20PM,D A Moffett,FULL,NWL,,,undergraduate day,,,1
Summer 2017 - Day,PHY-111-01,PHY-11,General Physics I,4,LAB,RNK 252,06/05/17,07/07/17,W,10:30AM,12:20PM,  ,FULL,NWL,,,undergraduate day,,,2
Summer 2017 - Day,PHY-112-01,PHY-12,General Physics II,4,LEC,PYR 222,07/10/17,08/11/17,MTRF,10:30AM,12:20PM,D A Moffett,5,NWL,,,undergraduate day,PHY-111 and MTH-141 or 150,,1
Summer 2017 - Day,PHY-112-01,PHY-12,General Physics II,4,LAB,RNK 252,07/10/17,08/11/17,W,10:30AM,12:20PM,  ,5,NWL,,,undergraduate day,PHY-111 and MTH-141 or 150,,2
Summer 2017 - Day,PSC-406-01,PS-85,State & Local Pblc Affrs Fldw,4,,,,,,,, N Cosby,FULL,,,,undergraduate day,PSC-101,,1
Summer 2017 - Day,PSY-111-01,PSY-21,General Psychology,4,LEC,JHN 207,06/05/17,07/07/17,MTWR,02:30PM,04:20PM,F J Provenzano,24,HB,,,undergraduate day,,,1
Summer 2017 - Day,PSY-218-01,PSY-31,Abnormal Psychology,4,LEC,JHN 207,07/10/17,08/11/17,MTWR,02:30PM,04:20PM,F J Provenzano,16,,,,undergraduate day,PSY-111,,1
Summer 2017 - Day,REL-210-01,REL-21,Intro to the Old Testament,4,LEC,FUR 201,07/10/17,08/04/17,MTWRF,10:30AM,12:20PM,B D Bibb,17,TA,,,undergraduate day,,,1
Summer 2017 - Day,REL-211-01,REL-22,N Testament & Early Christian,4,LEC,FUR 201,06/05/17,07/07/17,MTWR,10:30AM,12:20PM,T S Wardle,14,TA,,,undergraduate day,,,1
Summer 2017 - Day,SOC-101-01,SOC-11,Introduction to Sociology,4,LEC,JHN 107,06/05/17,07/07/17,MTWR,10:30AM,12:20PM,K C Longest,20,HB,,,undergraduate day,,,1
Summer 2017 - Day,SPN-110-01,SPN-11,Elementary Spanish I,4,LEC,FUR 230,06/05/17,07/07/17,MTWRF,10:30AM,12:20PM,M R Rippon,10,,,,undergraduate day,appropriate placement,,1
Summer 2017 - Day,SPN-120-01,SPN-12,Elementary Spanish II,4,LEC,FUR 229,07/10/17,08/11/17,MTWRF,10:30AM,12:20PM,A S Leal,12,,,,undergraduate day,SPN-110,,1
Summer 2017 - Day,SPN-201-01,SPN-21,Intermediate Spanish I,4,LEC,FUR 230,07/17/17,08/11/17,MTWRF,08:00AM,10:00AM,R J Friis,11,FL,,,undergraduate day,SPN-115 or SPN-120,,1
Summer 2017 - Day,THA-116-01,THA-26,Costume Crafts,4,LEC,TPH CST,06/05/17,07/07/17,MTWR,10:30AM,12:20PM,M R Caterisano,5,VP,,,undergraduate day,,,1
Summer 2017 - Day,THA-116-01,THA-26,Costume Crafts,4,LAB,TPH CST,06/05/17,07/07/17,F,10:30AM,12:20PM,  ,5,VP,,,undergraduate day,,,2
